ZIPCODE,STATE,YEAR,share_wages,share_business,share_capital_gains,share_interest,share_dividends,share_unemployment,share_social_security,income_stability_index,income_diversity_index,shock_response_index
52246,IA,2022,0.6607656885842793,0.025827800385521526,0.05937031484257871,0.00815056757335618,0.03423324052259585,0.0005675733561790533,0.0400599700149925,0.059273232724187434,0.806119342951968,-0.030202309478776904
52247,IA,2022,0.556497819115792,0.06565449322938038,0.04518812342639453,0.011823887901031931,0.020010435822226277,0.0011854283499749237,0.046875079155204995,0.03323861768869611,0.9493068543828148,0.03927291737594092
52248,IA,2022,0.5754056502759246,0.01840046124701425,0.04559756198006754,0.010476896466518408,0.01475990445597562,0.0,0.054888394695659336,0.05913795564493315,0.7849439932137008,0.01467213335157134
52249,IA,2022,0.5780339538253173,0.010929478093798229,0.020284103436328704,0.0077167784812120065,0.012756307285268827,0.0,0.062427163060253865,0.05084136132868733,0.6601402218540231,0.03296332246953641
52251,IA,2022,0.6801366712661804,0.004993757802746567,0.0059136605558840925,0.0021683422038241674,0.0007227807346080557,0.0,0.0514488468361916,0.045851665935564646,0.3637330815156005,0.12250256551197952
52253,IA,2022,0.7223926149775232,0.021770180265512005,0.027430727827642717,0.006284485739629847,0.01035135988453385,0.0013155323019560087,0.042683385202892665,0.08008761326877405,0.5846444693842843,-0.024238740767129244
52254,IA,2022,0.6264423500396371,0.015546551572271645,0.010966264423500396,0.006826389500572536,0.003875627587421827,0.0,0.052365013652779,0.0658939041622971,0.5279775696102049,0.16164564417860786
52255,IA,2022,0.6455730988308185,0.011317078045368242,0.05293794343959229,0.003922254421904667,0.0061706805236334565,0.0,0.0495653042869991,0.03602769837384068,0.6357650327325277,0.06902984559936257
52257,IA,2022,0.5413905543283896,0.0,0.0,0.0025244556642473968,0.0,0.0,0.06342694856421584,0.0867794567761867,0.36119610280880377,0.1991966192345574
52301,IA,2022,0.6926395939086294,0.023104906937394247,0.021480541455160745,0.007741116751269036,0.00823181049069374,0.0038494077834179356,0.05014382402707276,0.06337674780494514,0.6189870963862282,0.04419701873993796
52302,IA,2022,0.7060802699458162,0.02059959118782648,0.0324454105966711,0.006383634534895039,0.0174080442988006,0.001523852784356986,0.04204871137644247,0.06576002265093127,0.6356433213536834,0.029924910818866356
52305,IA,2022,0.7583402835696413,0.011759799833194329,0.020225187656380317,0.0035446205170975814,0.004336947456213511,0.0,0.034403669724770644,0.0907353099209364,0.41786088867160215,0.03740903891433829
